date,media_cost_1,media_cost_2,media_cost_3,media_cost_4,holidays,trend,competitor_spend,weekly,yearly,covid_index,promo_events,intercept
2020-03-08,0.0,0.0,0.0,0.0,0.0,7390.413818541246,-97.41146058086302,6546.215846533359,-3974.24114669377,2115.1425548804787,0.0,1921.4749842330652
2020-03-15,0.0,0.0,0.0,0.0,0.0,7398.9788811622275,-457.9790368407438,6546.215846533359,-2566.684498725473,3483.764208038439,0.0,1921.4749842330652
2020-03-22,0.0,0.0,0.0,0.0,0.0,7407.543943783152,-351.6136722516985,6546.215846533361,-814.4537973343685,5412.27653748829,0.0,1921.4749842330652
2020-03-29,0.0,0.0,0.0,0.0,0.0,7416.109006404125,-236.98616337653715,6546.215846533361,-47.17482210427269,5412.27653748829,0.0,1921.4749842330652
2020-04-05,0.0,0.0,0.0,0.0,0.0,7424.674069025107,-201.53591339419367,6546.215846533361,-860.3363195811561,5412.27653748829,0.0,1921.4749842330652
2020-04-12,0.0,0.0,0.0,0.0,0.0,7433.23913164607,-349.59685165355387,6546.215846533359,-2549.544421033341,5412.27653748829,0.0,1921.4749842330652
2020-04-19,0.0,0.0,0.0,0.0,0.0,7441.804194267031,-239.06144254274386,6546.215846533361,-3604.6662830348496,5412.27653748829,0.0,1921.4749842330652
2020-04-26,0.0,0.0,0.0,0.0,0.0,7450.369257107997,-108.12399317824845,6546.215846533361,-3033.728719296241,5412.27653748829,0.0,1921.4749842330652
2020-05-03,0.0,0.0,0.0,0.0,0.0,7458.934319948911,-126.6553592539435,6546.215846533361,-1361.1531626039302,4790.175786052835,0.0,1921.4749842330652
2020-05-10,0.0,0.0,0.0,0.0,0.0,7467.49938278988,-61.61533073748522,6546.215846533361,-227.52900901302883,4479.125410335172,0.0,1921.4749842330652
2020-05-17,0.0,0.0,0.0,0.0,0.0,7476.064445630832,-249.37450825837155,6546.215846533361,-827.1981480158921,4230.285109760957,0.0,1921.4749842330652
2020-05-24,0.0,0.0,0.0,0.0,-1109.6738882409365,7484.629508471785,-113.95036379510711,6546.215846533361,-2700.26316244052,4168.075034617423,0.0,1921.4749842330652
2020-05-31,0.0,0.0,0.0,0.0,0.0,7493.194572119748,-222.8343183581639,6546.215846533361,-4153.319626860537,4168.075034617423,0.0,1921.4749842330652
2020-06-07,0.0,0.0,0.0,0.0,0.0,7501.759635767776,-146.15129170266363,6546.215846533361,-3910.2218725881075,4168.075034617423,0.0,1921.4749842330652
2020-06-14,0.0,0.0,0.0,0.0,0.0,7510.324699415728,-189.01116518688136,6546.215846533361,-2282.3846898640295,4292.495184904506,0.0,1921.4749842330652
2020-06-21,0.0,0.0,0.0,0.0,0.0,7518.889763063723,-107.39813262480995,6546.215846533361,-696.8407372232757,4416.915335191598,0.0,1921.4749842330652
2020-06-28,0.0,0.0,0.0,0.0,-10757.724821956686,7527.454826711668,-112.11379044848914,6546.215846533361,-224.40400893506933,4416.915335191598,0.0,1921.4749842330652
2020-07-05,0.0,0.0,0.0,0.0,0.0,7536.01989035967,-88.27730932115522,6546.215846533361,-744.8737230651128,4043.654884330331,0.0,1921.4749842330652
2020-07-12,0.0,0.0,0.0,0.0,0.0,7544.584957565795,-25.1225696247005,6546.215846533361,-1484.9565984115911,3857.0246588997134,0.0,1921.4749842330652
2020-07-19,0.0,0.0,0.0,0.0,0.0,7553.1500247719705,-55.2725761027442,6546.215846533359,-2043.9795242308494,3857.0246588997134,0.0,1921.4749842330652
2020-07-26,0.0,0.0,0.0,0.0,0.0,7561.715091978089,-7.8626774043565515,6546.215846533361,-2643.7083350512617,3919.2347340432457,0.0,1921.4749842330652
2020-08-02,0.0,0.0,0.0,0.0,0.0,7570.28015918426,-57.75219369804614,6546.215846533361,-3525.241998553819,4043.654884330331,0.0,1921.4749842330652
2020-08-09,0.0,0.0,0.0,0.0,0.0,7578.845226390329,-67.12992232467911,6546.215846533359,-4521.638946864026,3981.444809186774,0.0,1921.4749842330652
